t,u,v,w,T
21.3500000000002,3.431,-0.333,0.123,14.317
21.4000000000002,3.207,-0.537,0.018,14.321
21.4500000000002,3.104,-0.514,0.138,14.317
21.5000000000002,3.255,-0.373,0.113,14.53
21.5500000000002,3.511,-0.418,0.137,14.69
21.6000000000002,3.72,-0.417,0.113,14.681
21.6500000000002,3.586,-0.283,0.101,14.701
21.7000000000002,3.599,-0.15,0.044,14.668
21.7500000000002,3.643,0.11,0.05,14.654
21.8000000000002,3.575,0.116,0.02,14.651
21.8500000000002,3.648,0.103,-0.133,14.561
21.9000000000002,3.554,0.172,-0.103,14.495
21.9500000000002,3.554,0.261,-0.141,14.551
22.0000000000002,3.486,0.47,-0.061,14.674
22.0500000000002,3.48,0.369,-0.091,14.671
22.1000000000002,3.529,0.469,-0.098,14.673
22.1500000000002,3.578,0.484,-0.271,14.63
22.2000000000002,3.49,0.504,-0.126,14.652
22.2500000000002,3.43,0.486,-0.167,14.603
22.3000000000002,3.322,0.719,-0.195,14.613
22.3500000000002,3.512,0.491,-0.099,14.458
22.4000000000002,3.564,0.397,-0.005,14.473
22.4500000000002,3.404,0.348,0.144,14.387
22.5000000000002,3.194,0.187,0.131,14.39
22.5500000000002,3.113,0.207,-0.023,14.417
22.6000000000002,3.1,-0.137,0.112,14.375
22.6500000000002,3.103,0.14,-0.025,14.383
22.7000000000002,3.333,0.148,-0.023,14.412
22.7500000000002,3.349,0.195,0.061,14.476
22.8000000000002,3.243,0.037,0.009,14.436
22.8500000000002,3.375,-0.021,0.182,14.373
22.9000000000002,3.371,0.243,0.091,14.512
22.9500000000002,3.326,0.36,0.009,14.483
23.0000000000002,3.229,0.545,-0.013,14.566
23.0500000000002,3.326,0.299,-0.071,14.657
23.1000000000002,3.243,0.271,-0.07,14.693
23.1500000000002,3.105,0.404,-0.119,14.725
23.2000000000002,3.086,0.333,-0.186,14.69
23.2500000000002,2.884,0.202,-0.177,14.517
23.3000000000002,2.819,0.456,-0.053,14.552
23.3500000000002,3.097,0.479,-0.016,14.596
23.4000000000002,2.928,0.449,0.024,14.6
23.4500000000002,2.979,0.487,-0.009,14.634
23.5000000000002,3.014,0.434,-0.104,14.617
23.5500000000002,3.045,0.405,-0.075,14.605
23.6000000000002,3.118,0.564,0.095,14.409
23.6500000000002,3.335,0.25,-0.08,14.387
23.7000000000002,3.267,-0.089,-0.041,14.393
23.7500000000002,3.168,0.249,0.113,14.348
23.8000000000002,3.144,0.142,-0.009,14.341
23.8500000000002,3.222,0.221,0.026,14.321
23.9000000000002,3.167,0.337,0.049,14.368
23.9500000000002,3.239,0.218,0.162,14.404
24.0000000000002,3.259,0.195,0.177,14.398
24.0500000000002,3.159,0.433,0.053,14.574
24.1000000000002,3.082,0.469,0.124,14.706
24.1500000000002,3.135,0.571,0.118,14.693
24.2000000000002,3.055,0.613,0.138,14.62
24.2500000000002,3.194,0.521,0.06,14.613
24.3000000000002,3.193,0.621,0.079,14.671
24.3500000000002,3.007,0.593,0.109,14.647
24.4000000000002,2.945,0.54,0.084,14.624
24.4500000000002,2.948,0.541,0.024,14.493
24.5000000000002,3.082,0.579,0.208,14.53
24.5500000000002,3.101,0.506,0.089,14.503
24.6000000000002,3.049,0.491,0.1,14.47
24.6500000000002,3.05,0.508,0.141,14.493
24.7000000000002,3.014,0.559,0.271,14.574
24.7500000000002,3.036,0.476,0.192,14.664
24.8000000000002,3.035,0.475,0.249,14.85
24.8500000000002,2.944,0.576,0.263,14.869
24.9000000000002,2.928,0.502,0.233,14.876
24.9500000000002,2.959,0.552,0.252,14.828
25.0000000000002,3.008,0.595,0.217,14.571
25.0500000000002,2.898,0.606,0.24,14.613
25.1000000000002,2.863,0.678,0.193,14.625
25.1500000000002,2.817,0.722,0.304,14.646
25.2000000000002,2.784,0.717,0.268,14.625
25.2500000000002,2.876,0.821,0.252,14.654
25.3000000000002,2.657,0.874,0.21,14.712
25.3500000000002,2.689,0.826,0.293,14.742
25.4000000000002,2.635,0.604,0.309,14.646
25.4500000000002,2.626,0.436,0.508,14.476
25.5000000000002,2.793,0.452,0.256,14.693
25.5500000000002,2.786,0.491,0.273,14.761
25.6000000000002,2.842,0.538,0.204,14.881
25.6500000000002,2.924,0.612,0.219,14.637
25.7000000000002,2.819,0.558,0.175,14.844
25.7500000000002,2.919,0.461,0.184,14.766
25.8000000000002,2.823,0.278,0.189,14.778
25.8500000000002,2.865,0.311,0.237,14.725
25.9000000000002,2.862,0.319,0.305,14.591
25.9500000000002,2.773,0.315,0.311,14.612
26.0000000000002,2.794,0.147,0.257,14.522
26.0500000000002,2.796,0.105,0.318,14.437
26.1000000000002,2.714,0.034,0.273,14.461
26.1500000000002,2.708,0.024,0.263,14.476
26.2000000000002,2.684,0.169,0.325,14.409
26.2500000000002,2.605,0.027,0.306,14.466
26.3000000000002,2.619,0.177,0.333,14.344
26.3500000000002,2.62,0.261,0.291,14.331
26.4000000000002,2.677,0.396,0.276,14.561
26.4500000000002,2.73,0.334,0.353,14.552
26.5000000000002,2.625,0.343,0.166,14.569
26.5500000000002,2.697,0.405,0.308,14.563
26.6000000000002,2.683,0.244,0.435,14.432
26.6500000000002,2.742,0.016,0.351,14.463
26.7000000000002,2.941,-0.171,0.388,14.461
26.7500000000002,2.625,0.272,0.604,14.463
26.8000000000002,2.698,0.517,0.502,14.497
26.8500000000002,2.82,0.453,0.201,14.488
26.9000000000002,2.783,0.444,0.134,14.498
26.9500000000002,2.645,0.516,-0.065,14.486
27.0000000000003,3.027,0.38,-0.02,14.647
27.0500000000003,2.922,0.356,-0.047,14.817
27.1000000000003,2.877,0.29,-0.003,14.833
27.1500000000003,2.929,0.368,0.124,14.774
27.2000000000003,2.955,0.583,0.291,14.674
27.2500000000003,2.914,0.447,0.284,14.74
27.3000000000003,3.122,0.438,0.262,14.872
27.3500000000003,3.201,0.507,0.291,14.806
27.4000000000003,3.036,0.479,0.254,14.647
27.4500000000003,3.09,0.613,0.064,14.701
27.5000000000003,3.132,0.661,0.16,14.625
27.5500000000003,3.069,0.767,0.212,14.429
27.6000000000003,3.099,0.706,0.146,14.498
27.6500000000003,3.113,0.768,0.132,14.441
27.7000000000003,3.007,0.862,0.213,14.402
27.7500000000003,2.963,0.751,0.201,14.539
27.8000000000003,2.867,0.764,0.274,14.605
27.8500000000003,3.065,0.655,0.255,14.463
27.9000000000003,2.983,0.525,0.239,14.541
27.9500000000003,3.102,0.61,0.284,14.493
28.0000000000003,3.109,0.543,0.329,14.437
28.0500000000003,2.904,0.786,0.104,14.441
28.1000000000003,2.888,0.893,0.132,14.393
28.1500000000003,2.851,1.006,0.299,14.398
28.2000000000003,2.89,0.873,0.238,14.432
28.2500000000003,3.001,0.697,0.177,14.583
28.3000000000003,2.932,0.959,0.188,14.629
28.3500000000003,2.868,0.74,0.154,14.624
28.4000000000003,3.005,0.615,0.147,14.578
28.4500000000003,2.963,0.642,0.337,14.439
28.5000000000003,2.994,0.742,0.224,14.549
28.5500000000003,3.121,0.64,0.06,14.541
28.6000000000003,3.104,0.549,0.171,14.454
28.6500000000003,3.3,0.467,0.333,14.429
28.7000000000003,3.319,0.292,0.316,14.37
28.7500000000003,3.064,0.357,0.294,14.348
28.8000000000003,2.795,0.642,0.188,14.348
28.8500000000003,2.744,0.831,0.032,14.446
28.9000000000003,2.915,0.841,0.345,14.358
28.9500000000003,2.714,0.696,0.286,14.387
29.0000000000003,2.924,0.738,0.363,14.327
29.0500000000003,2.84,0.843,0.33,14.321
29.1000000000003,2.994,0.765,0.166,14.436
29.1500000000003,3.169,0.453,0.257,14.41
29.2000000000003,3.165,0.375,0.2,14.395
29.2500000000003,3.238,0.235,0.259,14.368
29.3000000000003,3.225,0.109,0.268,14.387
29.3500000000003,3.043,0.24,0.231,14.441
29.4000000000003,3.013,0.414,0.163,14.463
29.4500000000003,3.003,0.429,0.218,14.446
29.5000000000003,3.148,0.505,0.38,14.419
29.5500000000003,3.274,0.404,0.421,14.508
29.6000000000003,3.244,0.438,0.486,14.498
29.6500000000003,3.244,0.287,0.256,14.668
29.7000000000003,3.39,0.518,0.375,14.727
29.7500000000003,3.089,0.947,0.237,14.671
